beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
101.0,auto_scan-2026-08-06_09-50-11,y0101.00cm,aug6_axicon3_007-tableyp001010.000mm-gantryxp000070.000mm-yp000020.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,150,6498.4,0.0231,0.588,0,False
101.0,auto_scan-2026-08-06_09-50-11,y0101.00cm,aug6_axicon3_007-tableyp001010.000mm-gantryxp000075.000mm-yp000020.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,255,6498.4,0.0392,1.0,4527,False
101.0,auto_scan-2026-08-06_09-50-11,y0101.00cm,aug6_axicon3_007-tableyp001010.000mm-gantryxp000075.000mm-yp000020.000mm-zm000063.100mm-shot0000.npy,75.0,-63.099999999999994,148,6498.4,0.0228,0.58,0,False
101.0,auto_scan-2026-08-06_10-16-44,y0101.00cm,aug6_axicon3_010-tableyp001010.000mm-gantryxp000070.000mm-yp000120.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,255,15625.0,0.0163,1.0,20209,False
101.0,auto_scan-2026-08-06_10-16-44,y0101.00cm,aug6_axicon3_010-tableyp001010.000mm-gantryxp000070.000mm-yp000120.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,160,15625.0,0.0102,0.627,0,False
101.0,auto_scan-2026-08-06_10-16-44,y0101.00cm,aug6_axicon3_010-tableyp001010.000mm-gantryxp000075.000mm-yp000120.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,255,15625.0,0.0163,1.0,73,False
101.0,auto_scan-2026-08-06_10-16-44,y0101.00cm,aug6_axicon3_010-tableyp001010.000mm-gantryxp000075.000mm-yp000120.000mm-zm000063.100mm-shot0000.npy,75.0,-63.099999999999994,149,15625.0,0.0095,0.584,0,False
102.0,auto_scan-2026-08-06_09-50-11,y0102.00cm,aug6_axicon3_007-tableyp001020.000mm-gantryxp000070.000mm-yp000010.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,126,406.2,0.3102,1.0,0,False
102.0,auto_scan-2026-08-06_10-16-44,y0102.00cm,aug6_axicon3_010-tableyp001020.000mm-gantryxp000070.000mm-yp000110.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,149,373.1,0.3993,1.0,0,False
103.0,auto_scan-2026-08-06_10-16-44,y0103.00cm,aug6_axicon3_010-tableyp001030.000mm-gantryxp000070.000mm-yp000100.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,147,288.0,0.5104,1.0,0,False
