run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_12-37-22,y0100.00cm,930.7024806074505,12,2,0.011950810439884663,0.0,0.10895167291164398,12.0
auto_scan-2026-07-29_12-37-22,y0100.50cm,930.7024806074505,12,2,0.011618773452937603,0.0,0.10746888816356659,12.0
auto_scan-2026-07-29_12-37-22,y0101.00cm,930.7024806074505,12,2,0.011194069869816303,0.0,0.10551828145980835,12.0
auto_scan-2026-07-29_12-37-22,y0101.50cm,930.7024806074505,12,2,0.022342046722769737,0.0,0.14802581071853638,12.0
auto_scan-2026-07-29_12-37-22,y0102.00cm,741.1330806100381,12,2,0.01592731475830078,0.0,0.12547342479228973,12.0
auto_scan-2026-07-29_13-17-16,y0100.00cm,1000.0,12,2,0.08366521447896957,0.0,0.27704694867134094,14.0
auto_scan-2026-07-29_13-17-16,y0100.50cm,1000.0,12,2,0.04248046875,0.0,0.20191244781017303,14.0
auto_scan-2026-07-29_13-17-16,y0101.00cm,1000.0,12,2,0.04396311566233635,0.0,0.20524035394191742,14.0
auto_scan-2026-07-29_13-17-16,y0101.50cm,788.0208333333333,12,2,0.02766132354736328,0.0,0.1642850637435913,14.0
auto_scan-2026-07-29_13-17-16,y0102.00cm,788.0208333333333,12,2,0.026805400848388672,0.0,0.16179803013801575,14.0
auto_scan-2026-07-29_13-17-16,y0102.50cm,788.0208333333333,12,2,0.027342000976204872,0.0,0.16335825622081757,14.0
auto_scan-2026-07-29_13-17-16,y0103.00cm,788.0208333333333,12,2,0.02725982666015625,0.0,0.16312049329280853,14.0
auto_scan-2026-07-29_13-17-16,y0103.50cm,788.0208333333333,12,2,0.027519861236214638,0.0,0.163876011967659,14.0
auto_scan-2026-07-29_13-17-16,y0104.00cm,788.0208333333333,12,2,0.027817407622933388,0.0,0.16476589441299438,14.0
auto_scan-2026-07-29_13-17-16,y0104.50cm,788.0208333333333,12,2,0.028066476806998253,0.0,0.16546928882598877,14.0
auto_scan-2026-07-29_13-17-16,y0105.00cm,788.0208333333333,12,2,0.028778076171875,0.0,0.16750304400920868,14.0
auto_scan-2026-07-29_13-17-16,y0105.50cm,788.0208333333333,12,2,0.02950000762939453,0.0,0.169528067111969,14.0
auto_scan-2026-07-29_13-17-16,y0106.00cm,788.0208333333333,12,2,0.030102252960205078,0.0,0.17122241854667664,15.0
auto_scan-2026-07-29_13-17-16,y0106.50cm,788.0208333333333,12,2,0.03135998919606209,0.0,0.17467524111270905,14.0
auto_scan-2026-07-29_13-17-16,y0107.00cm,788.0208333333333,12,2,0.06368669122457504,0.0,0.24451389908790588,15.0
auto_scan-2026-07-29_13-17-16,y0107.50cm,788.0208333333333,12,2,0.03180519863963127,0.0,0.17582666873931885,15.0
auto_scan-2026-07-29_13-17-16,y0108.00cm,788.0208333333333,12,2,0.03211943432688713,0.0,0.17664732038974762,15.0
