beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
46.0,auto_scan-2026-08-06_21-06-22,y0046.00cm,aug6_telescope_005-tableyp000460.000mm-gantryxp000055.000mm-yp000120.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,155,1001.9,0.1547,1.0,0,False
47.0,auto_scan-2026-08-06_21-06-22,y0047.00cm,aug6_telescope_005-tableyp000470.000mm-gantryxp000055.000mm-yp000110.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,172,1001.9,0.1717,1.0,0,False
48.0,auto_scan-2026-08-06_21-06-22,y0048.00cm,aug6_telescope_005-tableyp000480.000mm-gantryxp000055.000mm-yp000100.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,149,823.9,0.1809,1.0,0,False
49.0,auto_scan-2026-08-06_21-06-22,y0049.00cm,aug6_telescope_005-tableyp000490.000mm-gantryxp000055.000mm-yp000090.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,150,823.9,0.1821,1.0,0,False
50.0,auto_scan-2026-08-06_21-06-22,y0050.00cm,aug6_telescope_005-tableyp000500.000mm-gantryxp000055.000mm-yp000080.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,165,823.9,0.2003,1.0,0,False
51.0,auto_scan-2026-08-06_21-06-22,y0051.00cm,aug6_telescope_005-tableyp000510.000mm-gantryxp000055.000mm-yp000070.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,153,692.5,0.2209,1.0,0,False
52.0,auto_scan-2026-08-06_21-06-22,y0052.00cm,aug6_telescope_005-tableyp000520.000mm-gantryxp000055.000mm-yp000060.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,161,692.5,0.2325,1.0,0,False
53.0,auto_scan-2026-08-06_21-06-22,y0053.00cm,aug6_telescope_005-tableyp000530.000mm-gantryxp000055.000mm-yp000050.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,154,692.5,0.2224,1.0,0,False
54.0,auto_scan-2026-08-06_21-06-22,y0054.00cm,aug6_telescope_005-tableyp000540.000mm-gantryxp000050.000mm-yp000040.000mm-zm000097.100mm-shot0000.npy,50.0,-97.1,175,692.5,0.2527,1.0,0,False
54.0,auto_scan-2026-08-06_21-06-22,y0054.00cm,aug6_telescope_005-tableyp000540.000mm-gantryxp000055.000mm-yp000040.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,173,692.5,0.2498,0.989,0,False
55.0,auto_scan-2026-08-06_21-06-22,y0055.00cm,aug6_telescope_005-tableyp000550.000mm-gantryxp000050.000mm-yp000030.000mm-zm000097.100mm-shot0000.npy,50.0,-97.1,148,551.4,0.2684,1.0,0,False
55.0,auto_scan-2026-08-06_21-06-22,y0055.00cm,aug6_telescope_005-tableyp000550.000mm-gantryxp000055.000mm-yp000030.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,147,551.4,0.2666,0.993,0,False
56.0,auto_scan-2026-08-06_21-06-22,y0056.00cm,aug6_telescope_005-tableyp000560.000mm-gantryxp000050.000mm-yp000020.000mm-zm000097.100mm-shot0000.npy,50.0,-97.1,151,551.4,0.2738,0.915,0,False
56.0,auto_scan-2026-08-06_21-06-22,y0056.00cm,aug6_telescope_005-tableyp000560.000mm-gantryxp000055.000mm-yp000020.000mm-zm000097.100mm-shot0000.npy,55.0,-97.1,165,551.4,0.2992,1.0,0,False
65.0,auto_scan-2026-08-06_21-22-50,y0065.00cm,aug6_telescope_007-tableyp000650.000mm-gantryxp000050.000mm-yp000130.000mm-zm000093.100mm-shot0000.npy,50.0,-93.1,173,500.0,0.346,1.0,0,False
65.0,auto_scan-2026-08-06_21-22-50,y0065.00cm,aug6_telescope_007-tableyp000650.000mm-gantryxp000050.000mm-yp000130.000mm-zm000097.100mm-shot0000.npy,50.0,-97.1,137,500.0,0.274,0.792,0,False
65.0,auto_scan-2026-08-06_21-22-50,y0065.00cm,aug6_telescope_007-tableyp000650.000mm-gantryxp000055.000mm-yp000130.000mm-zm000093.100mm-shot0000.npy,55.0,-93.1,166,500.0,0.332,0.96,0,False
